Contrato,Idade,Sexo,Valor_Renda,UF_Cliente,Perc_Juros,Prazo_Emprestimo,Data_Contratacao,Prazo_Restante,VL_Emprestimo,VL_Emprestimo_ComJuros,QT_Total_Parcelas_Pagas,QT_Total_Parcelas_Pagas_EmDia,QT_Total_Parcelas_Pagas_EmAtraso,Qt_Renegociacao,Estado_Civil,Escolaridade,Possui_Patrimonio,VL_Patrimonio,QT_Parcelas_Atraso,QT_Dias_Atraso,Saldo_Devedor,Total_Pago,Possivel_Fraude
322090928715,42,M,4000.00,MA,17.0000,140,2022-11-18,143,160000.00,184000.00,2,1,1,2,SOLTEIRO(A),NULL,N,0.00,10,284,187861.70,1617.36,Sim
321990634715,31,M,3000.00,MA,20.0000,28,2021-07-23,0,14000.00,16100.00,2,1,1,1,CASADO (A),NULL,N,0.00,26,771,16615.93,1239.98,Sim
321965373715,36,F,2100.00,SP,24.0000,180,2021-04-01,149,60000.00,69000.00,4,1,0,1,CASADO (A),Nenhum,N,0.00,27,802,74443.40,1346.64,Sim
321967133715,28,M,2155.00,DF,19.0000,190,2021-04-10,159,180000.00,207000.00,29,28,0,2,SOLTEIRO(A),Nenhum,N,0.00,2,41,196812.41,22713.63,Nao
322098744715,21,F,4300.00,MG,22.0000,100,2022-12-28,94,30000.00,34500.00,4,3,0,1,SOLTEIRO(A),Ensino Médio,N,0.00,6,162,36114.39,900.80,Sim
322091640715,32,M,6000.00,RS,22.0000,100,2022-11-21,91,30000.00,34500.00,3,2,0,2,OUTRO,NULL,N,0.00,9,251,36379.10,675.60,Sim
322010858715,42,F,3800.00,PR,24.0000,36,2021-10-18,15,10000.00,11500.00,25,23,0,0,CASADO (A),NULL,N,0.00,0,NULL,3911.25,9366.42,Nao
322011093715,30,F,6000.00,BA,20.0000,200,2021-10-19,225,300000.00,345000.00,20,11,1,5,SOLTEIRO(A),Nenhum,N,0.00,1,103,341628.55,22798.00,Nao
322082506715,20,F,2024.74,MG,18.0000,25,2022-10-17,13,14000.00,16100.00,13,8,0,0,SOLTEIRO(A),NULL,N,0.00,0,NULL,8064.00,8766.98,Nao
322051550715,41,F,4000.00,MG,18.0000,25,2022-04-29,10,9000.00,10350.00,18,16,0,3,SOLTEIRO(A),NULL,N,0.00,0,NULL,2304.81,9016.67,Nao
322093571715,20,M,1500.00,MS,25.0000,80,2022-12-06,78,20000.00,23000.00,11,7,1,0,SOLTEIRO(A),Nenhum,N,0.00,0,NULL,21907.51,3560.95,Nao
322010855715,38,F,3800.00,CE,18.0000,50,2021-10-18,27,45000.00,51750.00,1,1,0,0,CASADO (A),NULL,N,0.00,24,708,53961.85,1080.00,Sim
322015571715,30,M,2000.00,MG,18.0000,70,2021-11-08,60,30000.00,34500.00,24,19,0,0,SOLTEIRO(A),NULL,N,0.00,0,NULL,23459.99,12844.33,Nao
322054863715,26,F,2500.00,MG,20.0000,90,2022-05-18,74,60000.00,69000.00,3,3,0,0,SOLTEIRO(A),Ensino Médio,N,0.00,14,406,70632.09,2419.92,Sim
322022557715,44,M,5000.00,SC,18.0000,100,2021-12-02,89,30000.00,34500.00,2,2,0,1,CASADO (A),NULL,N,0.00,20,589,35196.15,714.00,Sim
321955400715,59,M,5000.00,PR,21.0000,60,2021-02-15,33,12000.00,13800.00,6,1,4,1,CASADO (A),NULL,N,0.00,27,802,13551.47,1503.68,Sim
322089298715,58,M,2500.00,MG,24.0000,30,2022-11-21,19,10000.00,11500.00,3,2,0,0,DIVORCIADO,NULL,N,0.00,9,251,11672.47,1279.98,Sim
